rd,latitude,longitude,Region,Market,NRSF
RD001,42.224623,-89.0039369,North,Rockford,25400
RD002,42.3733166,-89.0315233,North,Rockford,31300
RD003,41.6276057,-88.4445147,North,West Chicago,30000
RD004,41.6278641,-88.4477889,North,West Chicago,50250
RD005,42.706282,-89.0093064,North,Rockford,45750
RD006,42.290819,-88.432236,North,North Chicago,47750
RD007,41.7178458,-88.3053453,North,West Chicago,60450
RD008,40.8176512,-89.565496,North,Peoria,43300
RD009,42.208965,-89.1076439,North,Rockford,39950
RD010,42.5036122,-88.3180466,North,North Chicago,55550
RD011,42.4654416,-87.8580285,North,North Chicago,41425
RD012,40.7860906,-89.6092185,North,Peoria,70050
RD013,41.4836845,-87.840721,North,South Chicago,21000
RD014,41.4881718,-87.9665199,North,South Chicago,20250
RD015,41.8978374,-88.7653322,North,West Chicago,96600
RD016,41.8984884,-88.7611783,North,West Chicago,25300
RD017,41.9623548,-88.7158993,North,Rockford,45250
RD018,41.9362448,-88.8630655,North,Rockford,15700
RD019,41.9158366,-88.695299,North,Rockford,60050
RD020,42.7321271,-87.955265,North,Milwaukee,48850
RD021,41.470086,-87.7186679,North,South Chicago,12150
RD022,41.4175519,-87.7481737,North,South Chicago,19250
RD023,42.3850245,-87.9032722,North,North Chicago,55400
RD024,38.7475836,-89.6880107,Central,Saint Louis,61825
RD025,38.6603414,-89.9840188,Central,Saint Louis,32300
RD026,38.7129811,-89.8778536,Central,Saint Louis,31350
RD027,39.4498021,-87.3337159,Central,Evansville,65475
RD028,42.709139,-87.8131401,North,Milwaukee,45500
RD029,36.4112142,-86.7865039,Central,North Nashville,46750
RD030,36.5018005,-86.9031655,Central,North Nashville,43100
RD031,36.4908484,-86.8831847,Central,North Nashville,46600
RD032,40.5000199,-88.9376827,North,Peoria,43325
RD033,36.5654012,-87.4133544,Central,North Nashville,39900
RD034,36.5805566,-87.4094096,Central,North Nashville,24250
RD035,36.2206864,-86.5617993,Central,Huntsville,22050
RD036,39.8204523,-88.8789232,North,Peoria,79275
RD037,35.5992225,-87.0628554,Central,Huntsville,42575
RD038,41.8030649,-88.3285429,North,West Chicago,57475
RD039,42.4954028,-88.0945793,North,North Chicago,29200
RD040,42.493084,-88.092401,North,North Chicago,32450
RD041,36.373969,-86.4173573,Central,North Nashville,65650
RD043,43.1501297,-88.0019819,North,Milwaukee,41500
RD044,39.4635748,-87.3033606,Central,Evansville,11800
RD045,38.7456959,-89.6869568,Central,Saint Louis,21500
RD046,38.3961835,-85.6798245,Central,Louisville,55025
RD047,38.3248186,-85.8174897,Central,Louisville,34000
RD048,36.1736286,-86.2953952,Central,Huntsville,70150
RD049,38.0167297,-84.2208861,Central,Lexington,54300
RD050,37.9991245,-87.4856608,Central,Evansville,25100
RD051,37.9411351,-87.4939159,Central,Evansville,26050
RD052,37.9473167,-87.4909401,Central,Evansville,23050
RD053,38.0267765,-87.5199363,Central,Evansville,25850
RD054,37.999678,-87.484573,Central,Evansville,35400
RD055,42.4834658,-92.4540592,North,Des Moines,26900
RD056,42.4887502,-92.4562037,North,Des Moines,50375
RD057,36.5248619,-87.2299531,Central,North Nashville,17200
RD058,41.4285614,-87.3464616,North,South Chicago,33750
RD059,38.7204716,-90.3667001,Central,Saint Louis,26150
RD060,37.3315871,-89.5688243,Central,Cape Girardeau,40000
RD061,37.2860256,-89.579722,Central,Cape Girardeau,68100
RD062,41.6124277,-94.037968,North,Des Moines,44600
RD063,38.3270517,-85.4666646,Central,Louisville,27075
RD064,38.40403,-85.7444098,Central,Louisville,40650
RD065,40.6342954,-89.5418392,North,Peoria,28250
RD066,34.2218883,-91.9755984,South,South Little Rock,38925
RD067,32.3909241,-86.2098936,South,Montgomery,55625
RD068,32.3667783,-86.2461056,South,Montgomery,27425
RD069,32.3811172,-86.1886213,South,Montgomery,36550
RD070,32.3841883,-86.1886845,South,Montgomery,57100
RD071,41.8992299,-83.4291967,North,Toledo,35500
RD072,32.3654032,-86.3050675,South,Montgomery,17300
RD073,40.3325414,-86.7852008,North,Indianapolis,29250
RD074,38.408772,-85.373597,Central,Louisville,44150
RD075,39.3410633,-83.0305587,Central,Columbus,44950
RD076,40.0058441,-82.4597885,Central,Columbus,50100
RD077,39.7218742,-82.1987216,Central,Columbus,38600
RD078,42.3251134,-88.4591876,North,North Chicago,35700
RD079,38.9343621,-94.3821383,Central,Kansas City,34225
RD080,39.124138,-94.364318,Central,Kansas City,30900
RD081,30.5858889,-88.1771564,South,Mobile,25750
RD082,30.6951084,-88.2271,South,Mobile,39775
RD083,30.6367229,-88.2247139,South,Mobile,35100
RD084,30.657956,-88.238632,South,Mobile,25675
RD085,30.7663133,-88.1282617,South,Mobile,21325
RD086,42.0689625,-88.3082504,North,West Chicago,28875
RD087,41.5508546,-87.4213504,North,South Chicago,32650
RD088,34.1990872,-92.049078,South,South Little Rock,37450
RD089,41.6873399,-86.0917294,North,Indianapolis,24650
RD090,39.0826397,-94.4728637,Central,Kansas City,80550
RD091,42.2781205,-84.9328186,North,Lansing,15900
RD092,42.7691132,-84.7389427,North,Lansing,16500
RD093,42.6486724,-84.5108718,North,Lansing,19600
